achieved_gbs,cols,gpu,impl,launches,max_abs_err,mean_ms,pct_peak_bw,rows,std_ms
89.31019521589745,256,Tesla T4,softmax 3-pass (ours),3,2.2351741790771484e-08,0.23481664046645165,27.909436004967954,4096,0.0095935498754767
258.09703685175174,256,Tesla T4,softmax fused (ours),1,2.9802322387695312e-08,0.04875264029949904,80.65532401617241,4096,0.005857153111727399
248.2471239893887,256,Tesla T4,torch.softmax,1,0.0,0.05068704038858414,77.57722624668398,4096,0.00893148432944055
220.04868730073213,256,Tesla T4,layernorm fused (ours),1,1.9073486328125e-06,0.05718239974230528,68.76521478147879,4096,0.005689073344163454
127.34256014367038,256,Tesla T4,torch.layer_norm,1,0.0,0.09881152056157588,39.794550044896994,4096,0.007870589980738795
220.25724101826208,1024,Tesla T4,softmax 3-pass (ours),3,7.450580596923828e-09,0.3808550384640694,68.8303878182069,4096,0.010228118844605888
304.4557366677281,1024,Tesla T4,softmax fused (ours),1,1.4901161193847656e-08,0.16531679958105086,95.14241770866502,4096,0.00802358385533739
301.1441788914892,1024,Tesla T4,torch.softmax,1,0.0,0.16713471993803977,94.10755590359038,4096,0.005429652651356463
264.4744603250182,1024,Tesla T4,layernorm fused (ours),1,1.9073486328125e-06,0.1903081603348255,82.64826885156819,4096,0.008643852720793132
239.45886393691802,1024,Tesla T4,torch.layer_norm,1,0.0,0.2101891204714775,74.83089498028689,4096,0.008443551645184098
226.2815412724164,1024,Tesla T4,softmax 3-pass (ours),3,7.450580596923828e-09,0.7414310467243195,70.71298164763013,8192,0.015900399367300713
358.91863224651667,1024,Tesla T4,softmax fused (ours),1,1.1175870895385742e-08,0.2804627203941345,112.16207257703645,8192,0.005682649139954455
312.4115369693326,1024,Tesla T4,torch.softmax,1,0.0,0.32221376001834867,97.62860530291644,8192,0.006913448744044448
329.1719015859327,1024,Tesla T4,layernorm fused (ours),1,1.9073486328125e-06,0.30580768138170245,102.86621924560397,8192,0.03829391058076304
311.2520522947531,1024,Tesla T4,torch.layer_norm,1,0.0,0.3234140795469284,97.26626634211036,8192,0.014393835199064158
214.09886124055276,768,Tesla T4,softmax 3-pass (ours),3,1.4901161193847656e-08,1.1754300725460052,66.90589413767273,16384,0.009495252472421974
353.4197575189747,768,Tesla T4,softmax fused (ours),1,2.2351741790771484e-08,0.4272396796941757,110.44367422467958,16384,0.006875339479732386
313.85344680689883,768,Tesla T4,torch.softmax,1,0.0,0.4811001616716385,98.07920212715588,16384,0.005917019231478787
322.5992863904797,768,Tesla T4,layernorm fused (ours),1,2.86102294921875e-06,0.4680572783946991,100.8122769970249,16384,0.23189277785349355
334.02508543675543,768,Tesla T4,torch.layer_norm,1,0.0,0.45204671919345857,104.38283919898606,16384,0.012371410079589914
223.51034780549622,4096,Tesla T4,softmax 3-pass (ours),3,2.7939677238464355e-09,1.5012473618984223,69.84698368921758,4096,0.008188992145656118
259.1323419550585,4096,Tesla T4,softmax fused (ours),1,3.725290298461914e-09,0.7769257611036301,80.97885686095579,4096,0.008536255849655151
353.6284038762928,4096,Tesla T4,torch.softmax,1,0.0,0.5693168020248414,110.5088762113415,4096,0.00783808685194627
270.6642860447428,4096,Tesla T4,layernorm fused (ours),1,1.9073486328125e-06,0.7438240003585815,84.58258938898214,4096,0.013288763283298007
233.58077029887005,4096,Tesla T4,torch.layer_norm,1,0.0,0.8619142395257949,72.99399071839689,4096,0.009774338853772307
