arithmetic_intensity,compulsory_gbs,gflops,gpu,iters,max_abs_err,mean_ms,pct_of_cublas,pct_peak_bw,pct_peak_flops,size,sm_clock_mean_mhz,speedup_vs_naive,stage,status,std_ms
42.666666666666664,0.5598017007883933,23.884872566971442,Tesla T4,100,4.1961669921875e-05,1.4048403191566468,5.3404845152256035,0.1749380314963729,0.29339711781362326,256,862.5,1.0,naive,ok,0.3919916186025276
42.666666666666664,6.239479650355913,266.2177984151856,Tesla T4,100,4.1961669921875e-05,0.126041279733181,59.524371592409246,1.949837390736223,3.270167531633078,256,862.5,11.14587476524023,coalesced,ok,0.028951710108772812
42.666666666666664,8.241476301894648,351.6363222141716,Tesla T4,100,4.1961669921875e-05,0.09542368032038212,78.62333485389742,2.5754613443420777,4.319432024053798,256,862.5,14.722135160160851,smem,ok,0.02183764428980909
42.666666666666664,10.545874234528801,449.9573006732288,Tesla T4,100,4.1961669921875e-05,0.07457248043268919,100.60719352888655,3.2955856982902505,5.527187753945912,256,862.5,18.83858912839419,blocktile_1d,ok,0.016208407002002753
42.666666666666664,3.936222190236421,167.94548011675397,Tesla T4,100,4.1961669921875e-05,0.19979359954595566,37.55139297690549,1.2300694344488816,2.063009533666887,256,862.5,7.031458076481132,blocktile_2d,ok,0.05160941242043302
42.666666666666664,5.989135894696799,255.53646484039675,Tesla T4,100,4.1961669921875e-05,0.13130976051092147,57.13610276668394,1.8716049670927497,3.1389601125245274,256,862.5,10.69867398806048,vectorized,ok,0.03214024256832986
42.666666666666664,10.482226831524573,447.24167814504847,Tesla T4,100,4.1961669921875e-05,0.07502527970820666,100.00000000000001,3.275695884851429,5.493829576270741,256,862.5,18.72489279107583,cublas,ok,0.013270686494053737
85.33333333333333,0.6535345882089714,55.76828486049889,Tesla T4,100,0.0,4.81340705871582,1.7901930683321958,0.20422955881530352,0.6850467381645402,512,1350,1.0,naive,ok,0.20023635793081654
85.33333333333333,8.101986905344823,691.3695492560917,Tesla T4,100,0.0,0.3882662409543991,22.193348384842867,2.5318709079202573,8.492648747740907,512,1350,12.397181498149212,coalesced,ok,0.015944473237339395
85.33333333333333,10.444771921102191,891.2872039340538,Tesla T4,100,0.0,0.30117728024721147,28.61081667415751,3.263991225344435,10.94839824014905,512,1350,15.98197265997254,smem,ok,0.12630022882682512
85.33333333333333,20.311624944118893,1733.2586618981454,Tesla T4,100,0.0,0.15487328112125398,55.63857037953453,6.347382795037154,21.29101147182274,512,1350,31.079647979739576,blocktile_1d,ok,0.008752872888423153
85.33333333333333,16.545873718082557,1411.9145572763782,Tesla T4,100,0.0,0.1901216009259224,45.323245278855836,5.170585536900799,17.343683142644192,512,1350,25.317518026745848,blocktile_2d,ok,0.008818868958753431
85.33333333333333,23.550775875587952,2009.666208050172,Tesla T4,100,0.0,0.13357215985655785,64.51140687421676,7.359617461121235,24.686347877974793,512,1350,36.036005286467656,vectorized,ok,0.008290307452378227
85.33333333333333,36.50637463465469,3115.210635490534,Tesla T4,100,0.0,0.08616927951574326,100.0,11.40824207332959,38.2666400782544,512,1350,55.859896772566195,cublas,ok,0.009536372919832954
170.66666666666666,0.3482771455925138,59.4392995144557,Tesla T4,80,0.00022125244140625,36.12902011871338,1.0744282540271979,0.10883660799766057,0.7301407664413289,1024,1447.5,1.0,naive,ok,0.5340924585469454
170.66666666666666,4.234305774482698,722.6548521783805,Tesla T4,80,0.00022125244140625,2.9716587960720062,13.062751368755093,1.3232205545258433,8.876951309188046,1024,1447.5,12.157862863148818,coalesced,ok,0.02738698771826045
170.66666666666666,5.957701972138597,1016.7811365783206,Tesla T4,80,0.00022125244140625,2.1120411962270738,18.379395286042154,1.8617818662933119,12.489941241380707,1024,1447.5,17.106209946687517,smem,ok,0.023207041611607675
170.66666666666666,13.365022402191777,2280.9638233073965,Tesla T4,80,0.00022125244140625,0.9414808012545108,41.230835460625634,4.17656950068493,28.018914889290933,1024,1447.5,38.37467537370059,blocktile_1d,ok,0.011595581182726992
170.66666666666666,14.916029593620099,2545.6690506444966,Tesla T4,80,0.00022125244140625,0.8435832016170025,46.01566262990452,4.661259248006281,31.270502292704602,1024,1447.5,42.828045946695376,blocktile_2d,ok,0.01178171029315202
170.66666666666666,27.976599442688666,4774.6729715522,Tesla T4,80,0.00022125244140625,0.4497655987739563,86.30726785614374,8.742687325840208,58.65115187146471,1024,1447.5,80.32855384493544,vectorized,ok,0.0072622276388263525
170.66666666666666,32.41511420488926,5532.1794909677665,Tesla T4,80,0.00022125244140625,0.38818040005862714,100.0,10.129723189027892,67.95621426601521,1024,1447.5,93.07275718520765,cublas,ok,0.01409760655670874
341.3333333333333,0.1714167499260906,58.51025064143893,Tesla T4,9,0.000518798828125,293.62152777777777,1.1042060607099609,0.05356773435190332,0.7187285112205057,2048,1245,1.0,naive,ok,3.0804396953036033
341.3333333333333,2.0959751422689554,715.42618189447,Tesla T4,9,0.000518798828125,24.013475630018448,13.501530370799193,0.6549922319590487,8.78815573278388,2048,1245,12.227364847208175,coalesced,ok,0.4436146930467044
341.3333333333333,2.4628631230748623,840.6572793428865,Tesla T4,9,0.000518798828125,20.436234368218315,15.864892948739781,0.7696447259608945,10.326470117714308,2048,1245,14.367692329581386,smem,ok,1.363952295766113
341.3333333333333,5.384875169720104,1838.0373912644623,Tesla T4,9,0.000518798828125,9.346855110592312,34.68746082944197,1.6827734905375322,22.578092954801274,2048,1245,31.413938089725125,blocktile_1d,ok,0.9153600797770503
341.3333333333333,6.564903199844141,2240.820292213467,Tesla T4,9,0.000518798828125,7.666776869032118,42.28878393953715,2.0515322499512942,27.525799580059292,2048,1245,38.29790964228826,blocktile_2d,ok,0.7799134048060149
341.3333333333333,12.505787550898026,4268.642150706526,Tesla T4,9,0.000518798828125,4.0246684021419945,80.55785921508114,3.908058609655633,52.43516792829361,2048,1245,72.9554582985042,vectorized,ok,0.3857194940472534
341.3333333333333,15.52398198356894,5298.852517058198,Tesla T4,9,0.000518798828125,3.242186705271403,99.99999999999999,4.851244369865293,65.09007120993265,2048,1245,90.56280667007384,cublas,ok,0.2790412676045403
682.6666666666666,0.6953613651627055,474.700025284407,Tesla T4,11,0.0,289.5280095880682,10.671629225267143,0.21730042661334545,5.831122559016399,4096,727.5,,coalesced,ok,6.920821562861604
682.6666666666666,1.185021601520088,808.9747466377133,Tesla T4,11,0.0,169.89276123046875,18.186387379165964,0.37031925047502756,9.937288063061533,4096,727.5,,smem,ok,0.6773820619821802
682.6666666666666,2.7683397227463096,1889.8532507281475,Tesla T4,11,0.0,72.72466971657492,42.4853846802588,0.8651061633582218,23.214588869990017,4096,727.5,,blocktile_1d,ok,0.4487640902701399
682.6666666666666,3.5676106239636547,2435.4888526258546,Tesla T4,11,0.0,56.431772752241656,54.751701354813804,1.114878319988642,29.917070221917438,4096,727.5,,blocktile_2d,ok,0.42825996065536603
682.6666666666666,6.758229069789121,4613.617711642707,Tesla T4,11,0.0,29.78984433954412,103.71774801629381,2.1119465843091003,56.67278045944756,4096,727.5,,vectorized,ok,0.4196814740458067
682.6666666666666,6.515981304113372,4448.243236941395,Tesla T4,11,0.0,30.897355686534535,100.0,2.0362441575354286,54.64135265503875,4096,727.5,,cublas,ok,1.142163530418076
